,a,b,c,d,e,f,g,h,i,j
39,9.0,9,5.0,4,6.0,9,3.0,0,7,1
40,4.0,6,9.0,9,7.0,7,9.0,4,4,5
41,8.0,9,4.0,2,6.0,1,4.0,5,4,8
42,4.0,3,1.0,9,3.0,4,,8,8,3
43,5.0,7,0.0,1,8.0,5,,5,1,6
44,8.0,3,8.0,5,,4,,2,3,3
45,6.0,1,,9,5.0,2,3.0,2,1,6
46,3.0,8,0.0,9,2.0,1,1.0,8,7,9
47,,3,0.0,8,8.0,7,5.0,4,8,5
48,4.0,8,6.0,7,9.0,7,2.0,9,9,4
49,2.0,0,0.0,2,5.0,9,1.0,9,1,5
50,3.0,8,6.0,6,0.0,7,,0,9,2
51,0.0,2,,2,3.0,8,7.0,4,0,2
52,7.0,5,7.0,8,7.0,9,1.0,2,8,1
53,9.0,4,2.0,6,3.0,2,6.0,8,9,4
54,4.0,8,0.0,7,,5,,8,9,0
55,4.0,6,,8,6.0,5,,2,9,3
56,7.0,6,4.0,6,8.0,4,7.0,4,6,1
57,5.0,4,8.0,9,7.0,7,6.0,5,6,0
58,9.0,9,4.0,8,6.0,9,9.0,6,0,5
59,,7,1.0,6,8.0,9,7.0,5,4,4
60,4.0,8,5.0,5,6.0,5,3.0,6,8,6
61,0.0,5,9.0,6,5.0,0,,9,8,4
62,5.0,5,3.0,5,8.0,3,,1,3,4
63,0.0,2,3.0,8,5.0,7,9.0,8,8,1
64,2.0,3,3.0,8,5.0,0,,1,9,5
65,3.0,3,,8,4.0,5,6.0,2,4,7
66,0.0,2,1.0,6,6.0,5,,4,8,1
67,5.0,8,7.0,8,4.0,8,3.0,9,6,5
68,,5,7.0,4,8.0,9,,5,9,4
69,3.0,9,7.0,5,,1,,0,8,4
70,2.0,5,0.0,7,9.0,7,3.0,3,1,7
71,3.0,1,4.0,4,6.0,8,6.0,1,4,7
72,3.0,4,,7,9.0,1,7.0,0,8,5
73,4.0,9,2.0,7,7.0,4,8.0,5,6,5
74,5.0,1,4.0,5,8.0,5,4.0,0,1,3
75,6.0,0,1.0,0,5.0,5,6.0,7,9,4
76,4.0,3,9.0,7,2.0,0,,6,4,3
77,8.0,0,2.0,9,2.0,4,8.0,1,6,5
78,2.0,6,3.0,5,2.0,1,9.0,2,7,0
79,9.0,6,,5,1.0,8,2.0,5,4,4
80,7.0,5,1.0,5,6.0,4,1.0,1,2,5
81,4.0,9,2.0,0,7.0,6,3.0,2,6,3
82,8.0,0,0.0,2,6.0,8,2.0,5,5,1
83,3.0,0,,9,7.0,1,7.0,4,7,0
84,0.0,7,3.0,4,5.0,2,,8,4,0
85,0.0,7,2.0,3,8.0,5,0.0,0,6,3
86,1.0,9,1.0,6,,2,7.0,5,1,6
87,1.0,8,6.0,3,3.0,8,,1,1,9
88,9.0,5,,8,8.0,3,8.0,3,5,6
89,6.0,4,0.0,8,0.0,9,3.0,7,6,7
90,0.0,5,1.0,3,6.0,7,8.0,1,3,4
91,1.0,3,9.0,3,6.0,9,7.0,8,8,7
92,2.0,5,0.0,1,6.0,4,9.0,9,4,1
93,7.0,5,9.0,8,5.0,2,1.0,9,9,2
94,9.0,1,8.0,8,,9,2.0,1,2,2
95,2.0,0,1.0,7,3.0,2,8.0,6,1,8
96,2.0,0,6.0,0,9.0,6,8.0,9,9,1
97,,4,9.0,0,3.0,0,,3,9,3
98,,2,4.0,7,9.0,9,0.0,2,7,5
99,9.0,7,7.0,8,4.0,0,8.0,6,2,0
